game_date,competition,competition_long,comp_stage,comp_round,ko_time,venue,attendance
2025-01-25,League Two,League Two,Regular Season,,15:00,Prenton Park,
2025-01-28,League Two,League Two,Regular Season,,19:45,The Nigel Eady County Ground,6180
2025-02-01,League Two,League Two,Regular Season,,15:00,Prenton Park,
2025-02-08,League Two,League Two,Regular Season,,15:00,The Peninsula Stadium,3097
2025-02-11,League Two,League Two,Regular Season,,19:45,Prenton Park,5166
2025-02-15,League Two,League Two,Regular Season,,15:00,Prenton Park,
2025-02-22,League Two,League Two,Regular Season,,15:00,Meadow Lane,9476
2025-02-25,League Two,League Two,Regular Season,,19:45,Prenton Park,
2025-03-01,League Two,League Two,Regular Season,,12:30,Prenton Park,
2025-03-04,League Two,League Two,Regular Season,,19:45,Blundell Park,4854
2025-03-08,League Two,League Two,Regular Season,,15:00,Prenton Park,
2025-03-15,League Two,League Two,Regular Season,,15:00,University of Bradford Stadium,18845
2025-03-22,League Two,League Two,Regular Season,,15:00,Highbury Stadium,3421
2025-03-28,League Two,League Two,Regular Season,,19:45,Prenton Park,6650
2025-04-01,League Two,League Two,Regular Season,,19:45,Exercise Stadium,3325
2025-04-05,League Two,League Two,Regular Season,,12:45,Prenton Park,6316
2025-04-12,League Two,League Two,Regular Season,,15:00,Wham Stadium,3197
2025-04-18,League Two,League Two,Regular Season,,15:00,Prenton Park,8814
2025-04-21,League Two,League Two,Regular Season,,15:00,SO Legal Stadium,3304
2025-04-26,League Two,League Two,Regular Season,,15:00,Prenton Park,9496
2025-05-03,League Two,League Two,Regular Season,,15:00,Rodney Parade,5465
2025-08-02,League Two,League Two,Regular Season,,15:00,JobServe Community Stadium,5981
2025-08-09,League Two,League Two,Regular Season,,12:30,Prenton Park,7620
2025-08-16,League Two,League Two,Regular Season,,15:00,Prenton Park,7981
2025-08-19,League Cup,English League Cup,1st Round,,19:45,Prenton Park,3524
2025-08-23,League Two,League Two,Regular Season,,15:00,Broadfield Stadium,
2025-08-30,League Two,League Two,Regular Season,,15:00,Prenton Park,7610
2025-09-06,League Two,League Two,Regular Season,,15:00,The Peninsula Stadium,3628
2025-09-09,EFL Trophy,English Football League Trophy,Group Stage,Northern Group B,19:00,Prenton Park,
2025-09-13,League Two,League Two,Regular Season,,15:00,Prenton Park,6345
2025-09-20,League Two,League Two,Regular Season,,15:00,Pallet-Track Bescot Stadium,6010
2025-09-27,League Two,League Two,Regular Season,,15:00,Prenton Park,7319
2025-10-04,League Two,League Two,Regular Season,,15:00,Copperjax Community Stadium,3589
2025-10-07,EFL Trophy,English Football League Trophy,Group Stage,Northern Group B,19:30,SO Legal Stadium,581
2025-10-11,League Two,League Two,Regular Season,,15:00,Prenton Park,6519
2025-10-18,League Two,League Two,Regular Season,,15:00,Memorial Stadium,
2025-10-25,League Two,League Two,Regular Season,,15:00,Prenton Park,
2025-10-28,League Two,League Two,Regular Season,,19:45,Wham Stadium,2375
2025-11-01,FA Cup,FA Cup,1st Round,,15:00,Prenton Park,5164
2025-11-08,League Two,League Two,Regular Season,,15:00,The Nigel Eady County Ground,8149
2025-11-11,EFL Trophy,English Football League Trophy,Group Stage,Northern Group B,20:00,Prenton Park,1082
2025-11-15,League Two,League Two,Regular Season,,15:00,Prenton Park,7481
2025-11-22,League Two,League Two,Regular Season,,15:00,Prenton Park,5786
2025-11-27,League Two,League Two,Regular Season,,20:00,Blundell Park,5565
2025-12-09,League Two,League Two,Regular Season,,19:45,SO Legal Stadium,2106
2025-12-13,League Two,League Two,Regular Season,,15:00,Prenton Park,6752
2025-12-20,League Two,League Two,Regular Season,,15:00,Boundary Park,8838
2025-12-26,League Two,League Two,Regular Season,,15:00,Prenton Park,7933
2025-12-29,League Two,League Two,Regular Season,,19:45,Prenton Park,
2026-01-01,League Two,League Two,Regular Season,,15:00,Exercise Stadium,
