player_id,bbc_urn
LeakeJake20030220,urn:bbc:sportsdata:football:player:s-15wscbomch91tnvn4j5h1qoa2
LewisPaul19941217,urn:bbc:sportsdata:football:player:s-bk8zqo7cv1w4i30jcw4mi34r9
LloydDanny19911203,urn:bbc:sportsdata:football:player:s-237fvt52gpmow7aleb8su5e51
LomaxArthur20040517,urn:bbc:sportsdata:football:player:s-4ck6p9sdzsut6vsxtmmke0e8k
LoweJason19910902,urn:bbc:sportsdata:football:player:s-32o26ls8zmlnnl91vlpd7oded
MacDonaldCalum19971218,urn:bbc:sportsdata:football:player:s-aohds6v2ewiu0xhov9mq9uju1
MaguireJoe19960118,urn:bbc:sportsdata:football:player:s-6x1o37d0suiwyglfqqu3fcvdh
MarosiMarko19931023,urn:bbc:sportsdata:football:player:s-ezg39hlg3h14utboy2h3lijmd
MatherSam20040903,urn:bbc:sportsdata:football:player:s-b6uguvr00hez2m8z4k6x7xic4
MaynardNicky19861211,urn:bbc:sportsdata:football:player:s-c1aep97crct20q1ctemx2532t
McAlearReece20020212,urn:bbc:sportsdata:football:player:s-6c2l1ppjdc2iey5btxtpyv23u
McCulloughLuke19940215,urn:bbc:sportsdata:football:player:s-7q6gzclnku4lvdm5vo86r0st1
McGeeLuke19950902,urn:bbc:sportsdata:football:player:s-535ecbyyd28elesvxtvbxurpx
McGowanAaron19960724,urn:bbc:sportsdata:football:player:s-cx80bpmc1tu0565b5is4hn0t1
McManamanCallum19910425,urn:bbc:sportsdata:football:player:s-7og14w8swh8l8v56aylzpjkr9
McPakeJosh20010831,urn:bbc:sportsdata:football:player:s-d9af8aedco8r1h0ognw2ildnu
MerrieChris19981102,urn:bbc:sportsdata:football:player:s-c9yuyh2p038inq1kj79sjofe
MontheEmmanuel19950126,urn:bbc:sportsdata:football:player:s-d8x9f9qtlfyn9j6vwyc708nh1
MorrisKieron19940603,urn:bbc:sportsdata:football:player:s-3gffyf2cg2ur4q1oobe8yoy51
MullinPaul19941106,urn:bbc:sportsdata:football:player:s-dedo3aeufeif0l0zgwmx9nhed
MumbongoJoel19990109,urn:bbc:sportsdata:football:player:s-dpi86vmhcnv6fjr01l2flad7u
MurphyJoe19810821,urn:bbc:sportsdata:football:player:s-8cithel8o62otbmjhvmjy33yt
NegruStephan20020724,urn:bbc:sportsdata:football:player:s-7ysjsg2vz5dgbm9pzvbx9u904
NelsonSid19960101,urn:bbc:sportsdata:football:player:s-2uwn00y18b4d34eue4trwklat
NevittElliott19961030,urn:bbc:sportsdata:football:player:s-cfctx4jjyzrqgeu1kcyt60f10
NolanJon19920422,urn:bbc:sportsdata:football:player:s-7ynz7g5313eh59e420xrvz651
NormanCameron19951012,urn:bbc:sportsdata:football:player:s-3kemfwng2z3s7yhkgemf37qh
NorrisJames20030404,urn:bbc:sportsdata:football:player:s-5kzz5kq118vbfxdcz0tdeq5wq
NorrisLuke19930603,urn:bbc:sportsdata:football:player:s-6jp4b6snq2bwki0oxkafbxck5
NugentDavid19850502,urn:bbc:sportsdata:football:player:s-2fqu0b0bftkff2zxsagx3ek7p
NugentGeorge20011204,urn:bbc:sportsdata:football:player:s-nqyiyg8vvlmtaxsnnb46qelm
OConnorLee20000728,urn:bbc:sportsdata:football:player:s-9zpiq0jevngvu0hi2u8yi997t
ObieroZech20050127,urn:bbc:sportsdata:football:player:s-167itb6gp221yil6lln017nys
PatrickOmari19960524,urn:bbc:sportsdata:football:player:s-4k6nbdla5or3o2bdgfal2c355
PayneStefan19910810,urn:bbc:sportsdata:football:player:s-6hd14ty4wtyb8ynrccfkiktlh
PerkinsDavid19820621,urn:bbc:sportsdata:football:player:s-cc1ub1b70rawrocgy4oeskt79
PikeDan20020109,urn:bbc:sportsdata:football:player:s-b9xp38iggemc6je1iecwg5pl
PillingLuke19970725,urn:bbc:sportsdata:football:player:s-dijbjtg9660vmecdb268y4xjp
PlantJames20041103,urn:bbc:sportsdata:football:player:s-3avfwbde1n5ti7w690ve0cges
RayGeorge19931013,urn:bbc:sportsdata:football:player:s-eabj99pro30dio3nmxd59jmc5
RidehalghLiam19910420,urn:bbc:sportsdata:football:player:s-dwhmkwjej0fri13j9f0zhqqc5
RobinsonLuke20011120,urn:bbc:sportsdata:football:player:s-2b5gp0gnxzpu86pabg0izs4tm
SaundersHarvey19970720,urn:bbc:sportsdata:football:player:s-ax2mraa85fs9ihyhk7qnmm489
SimeuDynel20020313,urn:bbc:sportsdata:football:player:s-1vni33hvf1nchb5gou5n5b2i2
SinnottLewis20020304,urn:bbc:sportsdata:football:player:s-at11yt4niflpl0jelf503nckq
SmallwoodRichie19901229,urn:bbc:sportsdata:football:player:s-a2t6x74hyo3ymdtv9ygab9xhx
SmithNathan19960403,urn:bbc:sportsdata:football:player:s-6xjftfuwhkbs39xfc3phdbyl1
SmithSam19980308,urn:bbc:sportsdata:football:player:s-5kyyaapya2gv5awlfgckmwpux
SolomonSol20010317,urn:bbc:sportsdata:football:player:s-az1nx89lrs221wy3dy46za2hg
SpearingJay19881125,urn:bbc:sportsdata:football:player:s-4k0pl4bz2uzfa5namxjpr7o45
SpellmanCarl20001106,urn:bbc:sportsdata:football:player:s-5nk54l0hymungm4xj7wzmvp0q
StarbuckJoseph20020803,urn:bbc:sportsdata:football:player:s-19bt0notvdx4wvtd01ep7z5nu
StratulisRyan20030418,urn:bbc:sportsdata:football:player:s-eywfnju7qb3dyekt0ce2q0dg4
TamenWill20060512,urn:bbc:sportsdata:football:player:s-169sg92av7sizogrr7e7kz8k4
TaylorSamuel20031223,urn:bbc:sportsdata:football:player:s-42rr7g3qbbn9dyvkxiyvbhdlg
TurnbullJordan19941030,urn:bbc:sportsdata:football:player:s-4bvc6p797egcje5vf8qbdl4ut
TurnerCookeJay20031231,urn:bbc:sportsdata:football:player:s-aoz8fsroacq75ckxb8gv33ywa
VaughanJames19880714,urn:bbc:sportsdata:football:player:s-1scicld3hn3g1fujch93r091x
WalkerBrad19960425,urn:bbc:sportsdata:football:player:s-5k1y1nkncrd0x0f3842db95ud
WalkerRiceDanny20001110,urn:bbc:sportsdata:football:player:s-2bu1fc2d0a68ja7p526uzg3u2
WalkerStephen20001011,urn:bbc:sportsdata:football:player:s-32lohd3p873fn95cteprhgcmh
WarringtonLewis20021010,urn:bbc:sportsdata:football:player:s-71or1ne6d9zuo038qdt6vcvoq
WatsonRyan19930707,urn:bbc:sportsdata:football:player:s-bd110gar9pn53vgz6aaib7h05
WhitakerCharlie20030916,urn:bbc:sportsdata:football:player:s-4l0n6z5cqyv9kwxqhwaiyib1m
WilliamsJosh20040713,urn:bbc:sportsdata:football:player:s-9et0d2wlllylnwyu1xglgb8yc
WilsonKane20000311,urn:bbc:sportsdata:football:player:s-cj3j3gw9euu4wcqgggfifult5
WoodConnor19960717,urn:bbc:sportsdata:football:player:s-d5ez41xiwizwfjey00yom0hyh
WoodsCalum19870205,urn:bbc:sportsdata:football:player:s-1a8msufvkrt37kx8px3oe4lp1
WoodyardAlex19930503,urn:bbc:sportsdata:football:player:s-ecruq4us2z1r623060yhyrdud
WooleryKaiyne19950111,urn:bbc:sportsdata:football:player:s-40f8em9vrvvhtnpsjf2dswf6d
YarneyJosef19971008,urn:bbc:sportsdata:football:player:s-1zoqc202u7l4s0ow6x8kckhd5
YoungJack20001021,urn:bbc:sportsdata:football:player:s-8fg00qug3asta7227xti3tskp
