game_date,surname,forename,name,role
2020-10-03,Karaivanov,Hristo,Hristo Karaivanov,Assistant referee 1
2020-10-03,Husband,Christopher,Christopher Husband,Assistant referee 2
2020-10-03,Smallwood,Billy,Billy Smallwood,Fourth official
2020-10-10,Allison,Sam,Sam Allison,Referee
2020-10-10,Cheosiaua,Dumitru-Ravel,Dumitru-Ravel Cheosiaua,Assistant referee 1
2020-10-10,Smith,Matthew,Matthew Smith,Assistant referee 2
2020-10-10,Rushton,Steven,Steven Rushton,Fourth official
2020-10-17,Coggins,Antony,Antony Coggins,Referee
2020-10-17,Flynn,John,John Flynn,Assistant referee 1
2020-10-17,Morris,Kevin,Kevin Morris,Assistant referee 2
2020-10-17,Wilding,Darren,Darren Wilding,Fourth official
2020-10-20,Barrott,Samuel,Samuel Barrott,Referee
2020-10-20,Wigglesworth,Richard,Richard Wigglesworth,Assistant referee 1
2020-10-20,Parry,Matthew,Matthew Parry,Assistant referee 2
2020-10-20,Toner,Ben,Ben Toner,Fourth official
2020-10-24,Woolmer,Andy,Andy Woolmer,Referee
2020-10-24,Meredith,Steven,Steven Meredith,Assistant referee 1
2020-10-24,Barnard,Nicholas,Nicholas Barnard,Assistant referee 2
2020-10-24,Dermott,Philip,Philip Dermott,Fourth official
2020-10-27,Oldham,James,James Oldham,Referee
2020-10-27,Farmer,Aaron,Aaron Farmer,Assistant referee 1
2020-10-27,Farrell,Conor,Conor Farrell,Assistant referee 2
2020-10-27,Ross,Alasdair,Alasdair Ross,Fourth official
2020-10-31,Hicks,Craig,Craig Hicks,Referee
2020-10-31,Hendley,Andy,Andy Hendley,Assistant referee 1
2020-10-31,Mellor,Gareth,Gareth Mellor,Assistant referee 2
2020-10-31,Stonier,Paul,Paul Stonier,Fourth official
2020-11-03,Joyce,Ross,Ross Joyce,Referee
2020-11-03,Grunnill,Wayne,Wayne Grunnill,Assistant referee 1
2020-11-03,Mulraine,Kevin,Kevin Mulraine,Assistant referee 2
2020-11-03,Bickle,Oliver,Oliver Bickle,Fourth official
2020-11-07,Salisbury,Graham,Graham Salisbury,Referee
2020-11-07,Smallwood,Billy,Billy Smallwood,Assistant referee 1
2020-11-07,Bristow,Matthew,Matthew Bristow,Assistant referee 2
2020-11-07,Isherwood,Chris,Chris Isherwood,Fourth official
2020-11-11,Speedie,Ben,Ben Speedie,Referee
2020-11-11,Woodward,Richard,Richard Woodward,Assistant referee 1
2020-11-11,Clayton,Alan,Alan Clayton,Assistant referee 2
2020-11-11,Harty,Thomas,Thomas Harty,Fourth official
2020-11-14,Brook,Carl,Carl Brook,Referee
2020-11-14,Smith,Matthew,Matthew Smith,Assistant referee 1
2020-11-14,Howick,Kevin,Kevin Howick,Assistant referee 2
2020-11-14,Graham,Paul,Paul Graham,Fourth official
2020-11-21,Edwards,Marc,Marc Edwards,Referee
2020-11-21,Taylor,Grant,Grant Taylor,Assistant referee 1
2020-11-21,Stonier,Paul,Paul Stonier,Assistant referee 2
2020-11-21,Haines,Andy,Andy Haines,Fourth official
2020-11-24,Rock,David,David Rock,Referee
2020-11-24,Karaivanov,Hristo,Hristo Karaivanov,Assistant referee 1
2020-11-24,Dallison,Andrew,Andrew Dallison,Assistant referee 2
2020-11-24,Oldham,James,James Oldham,Fourth official
2020-11-27,Nield,Tom,Tom Nield,Referee
2020-11-27,Bartlett,Richard,Richard Bartlett,Assistant referee 1
2020-11-27,Bickle,Oliver,Oliver Bickle,Assistant referee 2
2020-11-27,Backhouse,Anthony,Anthony Backhouse,Fourth official
2020-12-01,Young,Alan,Alan Young,Referee
2020-12-01,Wade,Stephen,Stephen Wade,Assistant referee 1
2020-12-01,Gordon,Barry,Barry Gordon,Assistant referee 2
2020-12-01,Gooch,Peter,Peter Gooch,Fourth official
2020-12-05,Coy,Martin,Martin Coy,Referee
2020-12-05,Ward,Christopher,Christopher Ward,Assistant referee 1
2020-12-05,Khan,Abbas,Abbas Khan,Assistant referee 2
2020-12-05,Toner,Ben,Ben Toner,Fourth official
2020-12-08,Stockbridge,Seb,Seb Stockbridge,Referee
2020-12-08,Isherwood,Chris,Chris Isherwood,Assistant referee 1
2020-12-08,Wilding,Darren,Darren Wilding,Assistant referee 2
2020-12-08,Parry,Matthew,Matthew Parry,Fourth official
2020-12-12,Johnson,Kevin,Kevin Johnson,Referee
2020-12-12,Ricketts,Adam,Adam Ricketts,Assistant referee 1
2020-12-12,Dabbs,Robert,Robert Dabbs,Assistant referee 2
2020-12-12,Plane,Steven,Steven Plane,Fourth official
2020-12-19,Breakspear,Charles,Charles Breakspear,Referee
2020-12-19,Williams,Scott,Scott Williams,Assistant referee 1
2020-12-19,Isherwood,Chris,Chris Isherwood,Assistant referee 2
2020-12-19,Barrott,Samuel,Samuel Barrott,Fourth official
2020-12-26,Toner,Ben,Ben Toner,Referee
2020-12-26,Rushton,Steven,Steven Rushton,Assistant referee 1
2020-12-26,Clayton,Alan,Alan Clayton,Assistant referee 2
2020-12-26,Woods,Martin,Martin Woods,Fourth official
2020-12-29,Bell,James,James Bell,Referee
2020-12-29,Clayton,Simon,Simon Clayton,Assistant referee 1
2020-12-29,Hilton,Gary,Gary Hilton,Assistant referee 2
2020-12-29,Backhouse,Anthony,Anthony Backhouse,Fourth official
2021-01-10,Langford,Oliver,Oliver Langford,Referee
2021-01-10,McGrath,Matt,Matt McGrath,Assistant referee 1
2021-01-10,Dermott,Philip,Philip Dermott,Assistant referee 2
2021-01-10,Oldham,Scott,Scott Oldham,Fourth official
2021-01-13,Edwards,Marc,Marc Edwards,Referee
2021-01-13,Simpson,Joe,Joe Simpson,Assistant referee 1
2021-01-13,Parry,Matthew,Matthew Parry,Assistant referee 2
2021-01-13,Graham,Paul,Paul Graham,Fourth official
2021-01-16,Swabey,Lee,Lee Swabey,Referee
2021-01-16,Kelly,Paul,Paul Kelly,Assistant referee 1
2021-01-16,Whitaker,Ryan,Ryan Whitaker,Assistant referee 2
2021-01-16,Holmes,Martyn,Martyn Holmes,Fourth official
2021-01-19,Drysdale,Darren,Darren Drysdale,Referee
2021-01-19,Harty,Thomas,Thomas Harty,Assistant referee 1
2021-01-19,Stonier,Paul,Paul Stonier,Assistant referee 2
2021-01-19,Backhouse,Anthony,Anthony Backhouse,Fourth official
2021-01-23,Hair,Neil,Neil Hair,Referee
2021-01-23,Williams,Ollie,Ollie Williams,Assistant referee 1
2021-01-23,Plane,Steven,Steven Plane,Assistant referee 2
2021-01-23,Hunt,David,David Hunt,Fourth official
2021-01-26,Haines,Andy,Andy Haines,Referee
2021-01-26,Clayton,Alan,Alan Clayton,Assistant referee 1
2021-01-26,Clark,Joe,Joe Clark,Assistant referee 2
2021-01-26,Ward,Christopher,Christopher Ward,Fourth official
2021-01-30,Howard,Paul,Paul Howard,Referee
2021-01-30,Gordon,Barry,Barry Gordon,Assistant referee 1
2021-01-30,Stankovic,Ivan,Ivan Stankovic,Assistant referee 2
2021-01-30,Boyeson,Carl,Carl Boyeson,Fourth official
2021-02-02,Barrott,Samuel,Samuel Barrott,Referee
2021-02-02,Smedley,Ian,Ian Smedley,Assistant referee 1
2021-02-02,Williams,Ollie,Ollie Williams,Assistant referee 2
2021-02-02,Coy,Martin,Martin Coy,Fourth official
2021-02-06,Young,Alan,Alan Young,Referee
2021-02-06,Hilton,Gary,Gary Hilton,Assistant referee 1
2021-02-06,Gooch,Peter,Peter Gooch,Assistant referee 2
2021-02-06,Brown,Conor,Conor Brown,Fourth official
2021-02-09,Madley,Robert,Robert Madley,Referee
2021-02-09,Woodward,Richard,Richard Woodward,Assistant referee 1
2021-02-09,Hughes,Kenwyn,Kenwyn Hughes,Assistant referee 2
2021-02-09,Bartlett,Richard,Richard Bartlett,Fourth official
2021-02-16,Hicks,Craig,Craig Hicks,Referee
2021-02-16,Wade,Christopher,Christopher Wade,Assistant referee 1
2021-02-16,Gratton,Danny,Danny Gratton,Assistant referee 2
2021-02-16,Purkiss,Sam,Sam Purkiss,Fourth official
2021-02-20,Stockbridge,Seb,Seb Stockbridge,Referee
2021-02-20,Cheosiaua,Dumitru-Ravel,Dumitru-Ravel Cheosiaua,Assistant referee 1
2021-02-20,Isherwood,Chris,Chris Isherwood,Assistant referee 2
2021-02-20,Oldham,Scott,Scott Oldham,Fourth official
2021-02-23,Speedie,Ben,Ben Speedie,Referee
2021-02-23,Clayton,Simon,Simon Clayton,Assistant referee 1
2021-02-23,Newhouse,Paul,Paul Newhouse,Assistant referee 2
2021-02-23,Herczeg,Adam,Adam Herczeg,Fourth official
2021-02-27,Coggins,Antony,Antony Coggins,Referee
2021-02-27,Aylott,Andrew,Andrew Aylott,Assistant referee 1
2021-02-27,Maskell,Garry,Garry Maskell,Assistant referee 2
2021-02-27,Finnie,Will,Will Finnie,Fourth official
2021-03-02,Toner,Ben,Ben Toner,Referee
2021-03-02,Simpson,Joe,Joe Simpson,Assistant referee 1
2021-03-02,Stonier,Paul,Paul Stonier,Assistant referee 2
2021-03-02,Parsons,Thomas,Thomas Parsons,Fourth official
2021-03-06,Pollard,Christopher,Christopher Pollard,Referee
2021-03-06,Taylor,Grant,Grant Taylor,Assistant referee 1
2021-03-06,Amphlett,Marvyn,Marvyn Amphlett,Assistant referee 2
2021-03-06,Rashid,Lisa,Lisa Rashid,Fourth official
2021-03-09,Robinson,Tim,Tim Robinson,Referee
2021-03-09,Lugg,Nigel,Nigel Lugg,Assistant referee 1
2021-03-09,Hyde,Robert,Robert Hyde,Assistant referee 2
2021-03-09,Byrne,George,George Byrne,Fourth official
2021-03-14,Breakspear,Charles,Charles Breakspear,Referee
2021-03-14,Liddle,Geoffrey,Geoffrey Liddle,Assistant referee 1
2021-03-14,Butler,Stuart,Stuart Butler,Assistant referee 2
2021-03-14,Lewis,Robert,Robert Lewis,Fourth official
2021-03-17,Lewis,Robert,Robert Lewis,Referee
2021-03-17,Wigglesworth,Richard,Richard Wigglesworth,Assistant referee 1
2021-03-17,Holmes,Martyn,Martyn Holmes,Assistant referee 2
2021-03-17,Nield,Tom,Tom Nield,Fourth official
2021-03-20,Howard,Paul,Paul Howard,Referee
2021-03-20,Williams,Ollie,Ollie Williams,Assistant referee 1
2021-03-20,Gratton,Danny,Danny Gratton,Assistant referee 2
2021-03-20,Brown,Conor,Conor Brown,Fourth official
2021-03-23,Bourne,Declan,Declan Bourne,Referee
2021-03-23,Yates,Paul,Paul Yates,Assistant referee 1
2021-03-23,Whitaker,Ryan,Ryan Whitaker,Assistant referee 2
2021-03-23,Hicks,Craig,Craig Hicks,Fourth official
2021-03-27,Finnie,Will,Will Finnie,Referee
2021-03-27,Atkin,Robert,Robert Atkin,Assistant referee 1
2021-03-27,Morris,Kevin,Kevin Morris,Assistant referee 2
2021-03-27,Parry,Matthew,Matthew Parry,Fourth official
2021-04-02,Busby,John,John Busby,Referee
2021-04-02,Ogles,Samuel,Samuel Ogles,Assistant referee 1
2021-04-02,Wade,Christopher,Christopher Wade,Assistant referee 2
2021-04-02,Hicks,Craig,Craig Hicks,Fourth official
2021-04-05,Coy,Martin,Martin Coy,Referee
2021-04-05,Woodward,Richard,Richard Woodward,Assistant referee 1
2021-04-05,Bickle,Oliver,Oliver Bickle,Assistant referee 2
2021-04-05,Speedie,Ben,Ben Speedie,Fourth official
2021-04-10,Davies,Andy,Andy Davies,Referee
2021-04-10,Dwyer,Mark,Mark Dwyer,Assistant referee 1
2021-04-10,Smith,Wade,Wade Smith,Assistant referee 2
2021-04-10,Barnard,Nicholas,Nicholas Barnard,Fourth official
2021-04-13,Yates,Ollie,Ollie Yates,Referee
2021-04-13,Aylott,Andrew,Andrew Aylott,Assistant referee 1
2021-04-13,Taylor,Grant,Grant Taylor,Assistant referee 2
2021-04-13,Shaw,Simon,Simon Shaw,Fourth official
2021-04-17,Madley,Robert,Robert Madley,Referee
2021-04-17,Rushton,Steven,Steven Rushton,Assistant referee 1
2021-04-17,Clayton,Simon,Simon Clayton,Assistant referee 2
2021-04-17,Backhouse,Anthony,Anthony Backhouse,Fourth official
2021-04-20,Stockbridge,Seb,Seb Stockbridge,Referee
2021-04-20,Moore,Anthony,Anthony Moore,Assistant referee 1
2021-04-20,Brown,Conor,Conor Brown,Assistant referee 2
2021-04-20,Ward,Christopher,Christopher Ward,Fourth official
2021-04-24,Edwards,Marc,Marc Edwards,Referee
2021-04-24,Rashid,Lisa,Lisa Rashid,Assistant referee 1
2021-04-24,Bristow,Matthew,Matthew Bristow,Assistant referee 2
2021-04-24,Bourne,Declan,Declan Bourne,Fourth official
2021-05-01,Nield,Tom,Tom Nield,Referee
2021-05-01,Butler,Stuart,Stuart Butler,Assistant referee 1
2021-05-01,Derrien,Mark,Mark Derrien,Assistant referee 2
2021-05-01,Brook,Carl,Carl Brook,Fourth official
2021-05-08,Bell,James,James Bell,Referee
2021-05-08,Williams,Ollie,Ollie Williams,Assistant referee 1
2021-05-08,Smedley,Ian,Ian Smedley,Assistant referee 2
2021-05-08,Welch,Rebecca,Rebecca Welch,Fourth official
2021-05-20,Drysdale,Darren,Darren Drysdale,Referee
2021-05-20,Clark,Joe,Joe Clark,Assistant referee 1
2021-05-20,Moore,Anthony,Anthony Moore,Assistant referee 2
2021-05-20,Toner,Ben,Ben Toner,Fourth official
2021-05-23,Bramall,Thomas,Thomas Bramall,Referee
2021-05-23,Newhouse,Paul,Paul Newhouse,Assistant referee 1
2021-05-23,Bickle,Oliver,Oliver Bickle,Assistant referee 2
2021-05-23,Oldham,Scott,Scott Oldham,Fourth official
2021-08-07,Brook,Carl,Carl Brook,Referee
2021-08-07,Ward,Christopher,Christopher Ward,Assistant referee 1
2021-08-07,Bartlett,Richard,Richard Bartlett,Assistant referee 2
2021-08-07,Taylor,Grant,Grant Taylor,Fourth official
2021-08-10,Oldham,Scott,Scott Oldham,Referee
2021-08-10,Jones,Mark,Mark Jones,Assistant referee 1
2021-08-10,Stankovic,Ivan,Ivan Stankovic,Assistant referee 2
2021-08-10,Miller,Andrew,Andrew Miller,Fourth official
2021-08-14,Haines,Andy,Andy Haines,Referee
2021-08-14,Bickle,Oliver,Oliver Bickle,Assistant referee 1
2021-08-14,Freeman,Lee,Lee Freeman,Assistant referee 2
2021-08-14,Harty,Thomas,Thomas Harty,Fourth official
2021-08-17,Busby,John,John Busby,Referee
2021-08-17,Pottage,Mark,Mark Pottage,Assistant referee 1
2021-08-17,Lugg,Nigel,Nigel Lugg,Assistant referee 2
2021-08-17,Tallis,Scott,Scott Tallis,Fourth official
2021-08-21,Lewis,Robert,Robert Lewis,Referee
2021-08-21,Graham,Paul,Paul Graham,Assistant referee 1
2021-08-21,Husband,Christopher,Christopher Husband,Assistant referee 2
2021-08-21,Parsons,Thomas,Thomas Parsons,Fourth official
2021-08-28,Kettle,Trevor,Trevor Kettle,Referee
2021-08-28,Clayton,Simon,Simon Clayton,Assistant referee 1
2021-08-28,Woodward,Daniel,Daniel Woodward,Assistant referee 2
2021-08-28,Newhouse,Paul,Paul Newhouse,Fourth official
2021-09-04,Sarginson,Chris,Chris Sarginson,Referee
2021-09-04,Amphlett,Marvyn,Marvyn Amphlett,Assistant referee 1
2021-09-04,Smedley,Ian,Ian Smedley,Assistant referee 2
2021-09-04,Hilton,Gary,Gary Hilton,Fourth official
2021-09-11,Breakspear,Charles,Charles Breakspear,Referee
2021-09-11,Gratton,Danny,Danny Gratton,Assistant referee 1
2021-09-11,Smith,Matthew,Matthew Smith,Assistant referee 2
2021-09-11,Khan,Abbas,Abbas Khan,Fourth official
2021-09-14,Mather,Simon,Simon Mather,Referee
2021-09-14,Clayton,Alan,Alan Clayton,Assistant referee 1
2021-09-14,Smallwood,Billy,Billy Smallwood,Assistant referee 2
2021-09-14,Stonier,Paul,Paul Stonier,Fourth official
2021-09-18,Purkiss,Sam,Sam Purkiss,Referee
2021-09-18,Ward,Christopher,Christopher Ward,Assistant referee 1
2021-09-18,Freeman,Lee,Lee Freeman,Assistant referee 2
2021-09-18,Barnard,Nicholas,Nicholas Barnard,Fourth official
2021-09-25,Rock,David,David Rock,Referee
2021-09-25,Husband,Christopher,Christopher Husband,Assistant referee 1
2021-09-25,Harty,Thomas,Thomas Harty,Assistant referee 2
2021-09-25,Hendley,Andy,Andy Hendley,Fourth official
2021-10-02,Stockbridge,Seb,Seb Stockbridge,Referee
2021-10-02,Woodward,Richard,Richard Woodward,Assistant referee 1
2021-10-02,Bickerdike,Jonathon,Jonathon Bickerdike,Assistant referee 2
2021-10-02,Mather,Simon,Simon Mather,Fourth official
2021-10-05,Yates,Ollie,Ollie Yates,Referee
2021-10-05,Williams,Ollie,Ollie Williams,Assistant referee 1
2021-10-05,Hilton,Gary,Gary Hilton,Assistant referee 2
2021-10-05,Brown,Conor,Conor Brown,Fourth official
2021-10-08,Oldham,James,James Oldham,Referee
2021-10-08,Rushton,Steven,Steven Rushton,Assistant referee 1
2021-10-08,Ward,Christopher,Christopher Ward,Assistant referee 2
2021-10-08,Graham,Paul,Paul Graham,Fourth official
2021-10-16,Kitchen,Andrew,Andrew Kitchen,Referee
2021-10-16,Williams,Darren,Darren Williams,Assistant referee 1
2021-10-16,Gooch,Peter,Peter Gooch,Assistant referee 2
2021-10-16,Isherwood,Chris,Chris Isherwood,Fourth official
2021-10-19,Bourne,Declan,Declan Bourne,Referee
2021-10-19,Parry,Matthew,Matthew Parry,Assistant referee 1
2021-10-19,Clayton,Simon,Simon Clayton,Assistant referee 2
2021-10-19,Avent,David,David Avent,Fourth official
2021-10-23,Nield,Tom,Tom Nield,Referee
2021-10-23,Wigglesworth,Richard,Richard Wigglesworth,Assistant referee 1
2021-10-23,Gratton,Danny,Danny Gratton,Assistant referee 2
2021-10-23,Smith,Matthew,Matthew Smith,Fourth official
2021-10-30,Bell,James,James Bell,Referee
2021-10-30,Atkin,Robert,Robert Atkin,Assistant referee 1
2021-10-30,Rashid,Lisa,Lisa Rashid,Assistant referee 2
2021-10-30,Freeman,Lee,Lee Freeman,Fourth official
2021-11-06,Breakspear,Charles,Charles Breakspear,Referee
2021-11-06,Ogles,Samuel,Samuel Ogles,Assistant referee 1
2021-11-06,Bennett,Andrew,Andrew Bennett,Assistant referee 2
2021-11-06,Marks,Louis,Louis Marks,Fourth official
2021-11-09,Edwards,Marc,Marc Edwards,Referee
2021-11-09,Brown,Conor,Conor Brown,Assistant referee 1
2021-11-09,Bickerdike,Jonathon,Jonathon Bickerdike,Assistant referee 2
2021-11-09,Smallwood,Billy,Billy Smallwood,Fourth official
2021-11-13,Finnie,Will,Will Finnie,Referee
2021-11-13,Clark,Joe,Joe Clark,Assistant referee 1
2021-11-13,Clayton,Alan,Alan Clayton,Assistant referee 2
2021-11-13,Stonier,Paul,Paul Stonier,Fourth official
2021-11-20,Reeves,Tom,Tom Reeves,Referee
2021-11-20,Kidd,Christopher,Christopher Kidd,Assistant referee 1
2021-11-20,Begley,Michael,Michael Begley,Assistant referee 2
2021-11-20,Amey,Justin,Justin Amey,Fourth official
2021-11-23,Coy,Martin,Martin Coy,Referee
2021-11-23,Bickle,Oliver,Oliver Bickle,Assistant referee 1
2021-11-23,Woodward,Richard,Richard Woodward,Assistant referee 2
2021-11-23,Simpson,Joe,Joe Simpson,Fourth official
